nombre,fecha,fraccion
Argentina Bonar 2029 step-up (AL29),2025-01-09,0.1
Argentina Bonar 2029 step-up (AL29),2025-07-09,0.1
Argentina Bonar 2029 step-up (AL29),2026-01-09,0.1
Argentina Bonar 2029 step-up (AL29),2026-07-09,0.1
Argentina Bonar 2029 step-up (AL29),2027-01-09,0.1
Argentina Bonar 2029 step-up (AL29),2027-07-09,0.1
Argentina Bonar 2029 step-up (AL29),2028-01-09,0.1
Argentina Bonar 2029 step-up (AL29),2028-07-09,0.1
Argentina Bonar 2029 step-up (AL29),2029-01-09,0.1
Argentina Bonar 2029 step-up (AL29),2029-07-09,0.1
Argentina Global 2029 (GD29),2025-01-09,0.1
Argentina Global 2029 (GD29),2025-07-09,0.1
Argentina Global 2029 (GD29),2026-01-09,0.1
Argentina Global 2029 (GD29),2026-07-09,0.1
Argentina Global 2029 (GD29),2027-01-09,0.1
Argentina Global 2029 (GD29),2027-07-09,0.1
Argentina Global 2029 (GD29),2028-01-09,0.1
Argentina Global 2029 (GD29),2028-07-09,0.1
Argentina Global 2029 (GD29),2029-01-09,0.1
Argentina Global 2029 (GD29),2029-07-09,0.1
Argentina Bonar 2030 step-up (AL30),2024-07-09,0.04
Argentina Bonar 2030 step-up (AL30),2025-01-09,0.08
Argentina Bonar 2030 step-up (AL30),2025-07-09,0.08
Argentina Bonar 2030 step-up (AL30),2026-01-09,0.08
Argentina Bonar 2030 step-up (AL30),2026-07-09,0.08
Argentina Bonar 2030 step-up (AL30),2027-01-09,0.08
Argentina Bonar 2030 step-up (AL30),2027-07-09,0.08
Argentina Bonar 2030 step-up (AL30),2028-01-09,0.08
Argentina Bonar 2030 step-up (AL30),2028-07-09,0.08
Argentina Bonar 2030 step-up (AL30),2029-01-09,0.08
Argentina Bonar 2030 step-up (AL30),2029-07-09,0.08
Argentina Bonar 2030 step-up (AL30),2030-01-09,0.08
Argentina Bonar 2030 step-up (AL30),2030-07-09,0.08
Argentina Global 2030 (GD30),2024-07-09,0.04
Argentina Global 2030 (GD30),2025-01-09,0.08
Argentina Global 2030 (GD30),2025-07-09,0.08
Argentina Global 2030 (GD30),2026-01-09,0.08
Argentina Global 2030 (GD30),2026-07-09,0.08
Argentina Global 2030 (GD30),2027-01-09,0.08
Argentina Global 2030 (GD30),2027-07-09,0.08
Argentina Global 2030 (GD30),2028-01-09,0.08
Argentina Global 2030 (GD30),2028-07-09,0.08
Argentina Global 2030 (GD30),2029-01-09,0.08
Argentina Global 2030 (GD30),2029-07-09,0.08
Argentina Global 2030 (GD30),2030-01-09,0.08
Argentina Global 2030 (GD30),2030-07-09,0.08
Argentina Bonar 2035 step-up (AL35),2031-01-09,0.1
Argentina Bonar 2035 step-up (AL35),2031-07-09,0.1
Argentina Bonar 2035 step-up (AL35),2032-01-09,0.1
Argentina Bonar 2035 step-up (AL35),2032-07-09,0.1
Argentina Bonar 2035 step-up (AL35),2033-01-09,0.1
Argentina Bonar 2035 step-up (AL35),2033-07-09,0.1
Argentina Bonar 2035 step-up (AL35),2034-01-09,0.1
Argentina Bonar 2035 step-up (AL35),2034-07-09,0.1
Argentina Bonar 2035 step-up (AL35),2035-01-09,0.1
Argentina Bonar 2035 step-up (AL35),2035-07-09,0.1
Argentina Global 2035 (GD35),2031-01-09,0.1
Argentina Global 2035 (GD35),2031-07-09,0.1
Argentina Global 2035 (GD35),2032-01-09,0.1
Argentina Global 2035 (GD35),2032-07-09,0.1
Argentina Global 2035 (GD35),2033-01-09,0.1
Argentina Global 2035 (GD35),2033-07-09,0.1
Argentina Global 2035 (GD35),2034-01-09,0.1
Argentina Global 2035 (GD35),2034-07-09,0.1
Argentina Global 2035 (GD35),2035-01-09,0.1
Argentina Global 2035 (GD35),2035-07-09,0.1
Argentina Bonar 2038 step-up (AE38),2027-07-09,0.0454545455
Argentina Bonar 2038 step-up (AE38),2028-01-09,0.0454545455
Argentina Bonar 2038 step-up (AE38),2028-07-09,0.0454545455
Argentina Bonar 2038 step-up (AE38),2029-01-09,0.0454545455
Argentina Bonar 2038 step-up (AE38),2029-07-09,0.0454545455
Argentina Bonar 2038 step-up (AE38),2030-01-09,0.0454545455
Argentina Bonar 2038 step-up (AE38),2030-07-09,0.0454545455
Argentina Bonar 2038 step-up (AE38),2031-01-09,0.0454545455
Argentina Bonar 2038 step-up (AE38),2031-07-09,0.0454545455
Argentina Bonar 2038 step-up (AE38),2032-01-09,0.0454545455
Argentina Bonar 2038 step-up (AE38),2032-07-09,0.0454545455
Argentina Bonar 2038 step-up (AE38),2033-01-09,0.0454545455
Argentina Bonar 2038 step-up (AE38),2033-07-09,0.0454545455
Argentina Bonar 2038 step-up (AE38),2034-01-09,0.0454545455
Argentina Bonar 2038 step-up (AE38),2034-07-09,0.0454545455
Argentina Bonar 2038 step-up (AE38),2035-01-09,0.0454545455
Argentina Bonar 2038 step-up (AE38),2035-07-09,0.0454545455
Argentina Bonar 2038 step-up (AE38),2036-01-09,0.0454545455
Argentina Bonar 2038 step-up (AE38),2036-07-09,0.0454545455
Argentina Bonar 2038 step-up (AE38),2037-01-09,0.0454545455
Argentina Bonar 2038 step-up (AE38),2037-07-09,0.0454545455
Argentina Bonar 2038 step-up (AE38),2038-01-09,0.0454545455
Argentina Global 2038 (GD38),2027-07-09,0.0454545455
Argentina Global 2038 (GD38),2028-01-09,0.0454545455
Argentina Global 2038 (GD38),2028-07-09,0.0454545455
Argentina Global 2038 (GD38),2029-01-09,0.0454545455
Argentina Global 2038 (GD38),2029-07-09,0.0454545455
Argentina Global 2038 (GD38),2030-01-09,0.0454545455
Argentina Global 2038 (GD38),2030-07-09,0.0454545455
Argentina Global 2038 (GD38),2031-01-09,0.0454545455
Argentina Global 2038 (GD38),2031-07-09,0.0454545455
Argentina Global 2038 (GD38),2032-01-09,0.0454545455
Argentina Global 2038 (GD38),2032-07-09,0.0454545455
Argentina Global 2038 (GD38),2033-01-09,0.0454545455
Argentina Global 2038 (GD38),2033-07-09,0.0454545455
Argentina Global 2038 (GD38),2034-01-09,0.0454545455
Argentina Global 2038 (GD38),2034-07-09,0.0454545455
Argentina Global 2038 (GD38),2035-01-09,0.0454545455
Argentina Global 2038 (GD38),2035-07-09,0.0454545455
Argentina Global 2038 (GD38),2036-01-09,0.0454545455
Argentina Global 2038 (GD38),2036-07-09,0.0454545455
Argentina Global 2038 (GD38),2037-01-09,0.0454545455
Argentina Global 2038 (GD38),2037-07-09,0.0454545455
Argentina Global 2038 (GD38),2038-01-09,0.0454545455
Argentina Bonar 2041 step-up (AL41),2028-01-09,0.0357142857
Argentina Bonar 2041 step-up (AL41),2028-07-09,0.0357142857
Argentina Bonar 2041 step-up (AL41),2029-01-09,0.0357142857
