nombre,fecha,fraccion
Uruguay UI 4.25% 2027,2025-04-05,0.3333333333
Uruguay UI 4.25% 2027,2026-04-05,0.3333333333
Uruguay UI 4.25% 2027,2027-04-05,0.3333333333
Uruguay UI 4.375% 2028,2026-12-15,0.3333333333
Uruguay UI 4.375% 2028,2027-12-15,0.3333333333
Uruguay UI 4.375% 2028,2028-12-15,0.3333333333
Uruguay UI 4.00% 2030,2028-07-10,0.3333333333
Uruguay UI 4.00% 2030,2029-07-10,0.3333333333
Uruguay UI 4.00% 2030,2030-07-10,0.3333333333
Uruguay UI 3.70% 2037,2035-06-26,0.3333333333
Uruguay UI 3.70% 2037,2036-06-26,0.3333333333
Uruguay UI 3.70% 2037,2037-06-26,0.3333333333
Uruguay UI 3.875% 2040,2038-07-02,0.3333333333
Uruguay UI 3.875% 2040,2039-07-02,0.3333333333
Uruguay UI 3.875% 2040,2040-07-02,0.3333333333
Uruguay UI 3.40% 2045,2043-05-16,0.3333333333
Uruguay UI 3.40% 2045,2044-05-16,0.3333333333
Uruguay UI 3.40% 2045,2045-05-16,0.3333333333
